,Unnamed: 0,Review id,Product Name,Product id,Action,Agent,Environment,Feature,Review Body,Rating,Valence,Annotation Description,Annotation Label,Annotation,Annotation Date,review sentences,Sentences Actions,Action Flag
1776,1776,1259,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,WatchAction,Person,Universal,Speakers,"The Build- Wow! It^s been a minute since I^ve used a Chromebook, a few years back I purchased one for some graduate classes I was taking. This Chromebook feels amazing. Super light, and thin. I^ve been using it for a few days, and I am still pleasantly surprised when I pick it up. The entire frame of the laptops is constructed from magnesium, which is great when you first pickup because it^s nice and cool to the touch. It is easy to open up with one hand, which is a nice bonus. The ridges on the bottom are great as a grip to hold on to, and I think also make it a little easier to keep clean. Seriously, this is super portable; I kept asking my family to pick it up to feel how light it is.The Screen and Sound- Spotify, Youtube, Netflix, Disney+, Amazon Prime, Hulu, Apple TV+; these are all the services I have been using since the day I received it. The screen is great, videos look crispy, and the speakers are amazing. Easy to see in well lit areas, and I normally keep the brightness between 50-75%. Speakers are great for streaming music or watching movies/shows. This thing gets very loud, about 50% is way more than enough for me. Music and videos are clear. There^s good separation in highs, mids, and lows. Lows are definitely a little on the weak side, but I think that^s just a sacrifice of the size and weight of the chromebook.Battery- I^m an educator, and I decided to take this with me for a few days instead of my usual device. Used it most of the day, between lessons, and again when I got home for some entertainment and news. Finished the day with just slightly under 40% battery left. I am absolutely comfortable leaving the charger at home for a day of work.Productivity- I was a little worried in transitioning my workflow to ChromeOS. I primarily use Windows 10 or iPadOS for most of my work. I did have a slight adjustment period, but then I realized that most of the work that I do is already being done in a Chrome browser on those other 2 platforms so the transition was minimal. Also, as a huge bonus, all the work that I get done on this in Google Docs, Slides, etc is saved to the Google Drive automatically, and I can retrieve it from pretty much any device (phones, tablets, computers) that are online. If you need to share the file to someone who is not using Google services you can share it with them as an Office file (Word, Excel, etc.) You also have the option of just downloading the Android Office apps from the Google Play Store, or using their online services and using that as well. The apps work very much like their Windows 10 counterparts, and are also able to save to the cloud.Overall, I would definitely recommend this to anyone interested in a lightweight, portable device that wants great battery life, a good touch screen, and great sound. It^s become my go to device.",5,positive,"The person likes to watch movies due to this laptop""s good speakers",watching movies/shows.,http://linked.aub.edu.lb/actionrec/Annotation/e8f5a21cbf6c8f62cffdd21f98ca5b1f,2021-03-28T17:29:27,Speakers are great for streaming music or watching movies/shows.,WatchAction,Action Exist
1808,1808,1261,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,TypeAction,Person,Universal,BatteryLife,"Let me preface this review with a few facts:1. This is my first Chromebook experience.2. I currently own a Windows Laptop, Android tablet, and an iPad 6th gen tablet with keyboard case.3. I""m an I.T. professional that primarily relies on Windows based applications and resources.4. I tested out the PixelBook Go for about 2 weeks prior to this review.I will start out with a few positives. The build quality is amazing. The brushed aluminum feels great and never seems to get hot. Portability is exactly what you would expect due to the light weight and size. Battery life has been amazing. I""ve been able to get around 9-10 hours on a single use. That is with YouTube videos, emails, typing up documents, using it to remote desktop while at work, reading books, and the occasional Netflix movie. When I stated earlier about me using it for work, I""ve been shocked at how useful it has been. I was able to use this solely while utilizing the adaptation of Android apps in the Chrome OS. I also did some photo editing as well with no slow downs. I normally charged it once every other day, depending on my usage. Wifi is very stable, bluetooth devices work well including mouse support, and numerous bluetooth headphones and speakers. I don""t want to compare the PixelBook to other devices, but I will say I""m in the Apple ecosystem with an iphone, and iPad. I definitely have put my iPad on the shelf, per say, due to the enjoyment of using the PixelBook Go. The quiet keyboard, which is backlight, and the loud speakers too make other devices not so appealing. My rating though has to due with not all Android apps being supported with the device. As I mentioned, I""m in the I.T. field, and installing apks outside of the Google Play store has been an issue. I did, however get into developer mode in order to install unknown apks, but not all seem to work. I know that may not be a reason to dock a star, but if I am going to use the PixelBook to its full capacity, I believe all Android apps should be supported in the Chrome OS environment. I mean it is an Android device. With that said, I will say that using a Chromebook has opened my eyes to what Chrome OS has to offer as well as its limitations pertaining to workflow depending on your needs. I can definitely recommend this product to anyone who is looking for great battery life, great design, simplicity, and functionality especially if you are an Android user. Hopefully Google will continue to work on the app compatibility issues in the future.",4,positive,"The person likes this laptop""s battery life when typing documents.", typing up documents,http://linked.aub.edu.lb/actionrec/Annotation/304f963e8b109eeea1591ca3e247aab1,2021-03-28T17:43:13,"That is with YouTube videos, emails, typing up documents, using it to remote desktop while at work, reading books, and the occasional Netflix movie.",TypeAction,Action Exist
1870,1870,1263,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,ChargeAction,Employee,Universal,BatteryLife,"Let me preface this review with a few facts:1. This is my first Chromebook experience.2. I currently own a Windows Laptop, Android tablet, and an iPad 6th gen tablet with keyboard case.3. I""m an I.T. professional that primarily relies on Windows based applications and resources.4. I tested out the PixelBook Go for about 2 weeks prior to this review.I will start out with a few positives. The build quality is amazing. The brushed aluminum feels great and never seems to get hot. Portability is exactly what you would expect due to the light weight and size. Battery life has been amazing. I""ve been able to get around 9-10 hours on a single use. That is with YouTube videos, emails, typing up documents, using it to remote desktop while at work, reading books, and the occasional Netflix movie. When I stated earlier about me using it for work, I""ve been shocked at how useful it has been. I was able to use this solely while utilizing the adaptation of Android apps in the Chrome OS. I also did some photo editing as well with no slow downs. I normally charged it once every other day, depending on my usage. Wifi is very stable, bluetooth devices work well including mouse support, and numerous bluetooth headphones and speakers. I don""t want to compare the PixelBook to other devices, but I will say I""m in the Apple ecosystem with an iphone, and iPad. I definitely have put my iPad on the shelf, per say, due to the enjoyment of using the PixelBook Go. The quiet keyboard, which is backlight, and the loud speakers too make other devices not so appealing. My rating though has to due with not all Android apps being supported with the device. As I mentioned, I""m in the I.T. field, and installing apks outside of the Google Play store has been an issue. I did, however get into developer mode in order to install unknown apks, but not all seem to work. I know that may not be a reason to dock a star, but if I am going to use the PixelBook to its full capacity, I believe all Android apps should be supported in the Chrome OS environment. I mean it is an Android device. With that said, I will say that using a Chromebook has opened my eyes to what Chrome OS has to offer as well as its limitations pertaining to workflow depending on your needs. I can definitely recommend this product to anyone who is looking for great battery life, great design, simplicity, and functionality especially if you are an Android user. Hopefully Google will continue to work on the app compatibility issues in the future.",4,positive,The person likes the battery life of this laptop.,"I normally charged it once every other day, depending on my usage.",http://linked.aub.edu.lb/actionrec/Annotation/0cb5198e031a300b5a0798ef6875372f,2021-03-28T17:47:38,"I normally charged it once every other day, depending on my usage.",ChargeAction,Action Exist
1908,1908,1264,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,RunAction,Person,Universal,OperatingSystem,"Let me preface this review with a few facts:1. This is my first Chromebook experience.2. I currently own a Windows Laptop, Android tablet, and an iPad 6th gen tablet with keyboard case.3. I""m an I.T. professional that primarily relies on Windows based applications and resources.4. I tested out the PixelBook Go for about 2 weeks prior to this review.I will start out with a few positives. The build quality is amazing. The brushed aluminum feels great and never seems to get hot. Portability is exactly what you would expect due to the light weight and size. Battery life has been amazing. I""ve been able to get around 9-10 hours on a single use. That is with YouTube videos, emails, typing up documents, using it to remote desktop while at work, reading books, and the occasional Netflix movie. When I stated earlier about me using it for work, I""ve been shocked at how useful it has been. I was able to use this solely while utilizing the adaptation of Android apps in the Chrome OS. I also did some photo editing as well with no slow downs. I normally charged it once every other day, depending on my usage. Wifi is very stable, bluetooth devices work well including mouse support, and numerous bluetooth headphones and speakers. I don""t want to compare the PixelBook to other devices, but I will say I""m in the Apple ecosystem with an iphone, and iPad. I definitely have put my iPad on the shelf, per say, due to the enjoyment of using the PixelBook Go. The quiet keyboard, which is backlight, and the loud speakers too make other devices not so appealing. My rating though has to due with not all Android apps being supported with the device. As I mentioned, I""m in the I.T. field, and installing apks outside of the Google Play store has been an issue. I did, however get into developer mode in order to install unknown apks, but not all seem to work. I know that may not be a reason to dock a star, but if I am going to use the PixelBook to its full capacity, I believe all Android apps should be supported in the Chrome OS environment. I mean it is an Android device. With that said, I will say that using a Chromebook has opened my eyes to what Chrome OS has to offer as well as its limitations pertaining to workflow depending on your needs. I can definitely recommend this product to anyone who is looking for great battery life, great design, simplicity, and functionality especially if you are an Android user. Hopefully Google will continue to work on the app compatibility issues in the future.",4,negative,"The person doesn""t like that this laptop isn""t able to run some android applications.","but if I am going to use the PixelBook to its full capacity, I believe all Android apps should be supported in the Chrome OS environment.",http://linked.aub.edu.lb/actionrec/Annotation/8e08d3728658cd5ea94b60748d13dcdf,2021-03-28T17:51:01,"I know that may not be a reason to dock a star, but if I am going to use the PixelBook to its full capacity, I believe all Android apps should be supported in the Chrome OS environment.",RunAction,Action Exist
1918,1918,1265,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,ListenAction,Person,Universal,Speakers,"WOW this is a fast start and load time. You wouldn""t think it would be this fast and so thin. I love how they have made the bottom with a rubber ridges on. I feel safe putting this on any surface i have no fear of it slipping off. This is very light and thin easy to carry around. Screen has a great picture on it and the SOUND is AWESOME i haven""t seen a laptop with 2 speakers on top that sound this good. The touch screen is a great feature on this easy touch. The Battery life is good i haven""t used it all up yet i want to use it for a whole day to see how long it really last. They make this so easy to use just unfold it and its on to start the set up only took 5min nothing hard just sign in to your Google and your good to go. This can go anywhere as light as it is doesn""t really feel like you are hold any extra weight. I wont give you all the specs of the device like the GB, RAM or SSD size. I will just tell you i really enjoy this as my new device. I added pictures of the device so you can see what i""m talking about.",5,positive,The person likes the speakers of this laptop.,"SOUND is AWESOME i haven""t seen a laptop with 2 speakers on top that sound this good.",http://linked.aub.edu.lb/actionrec/Annotation/4a72bd87f6a8186863d5b7640944b45b,2021-03-28T17:59:21,"Screen has a great picture on it and the SOUND is AWESOME i haven""t seen a laptop with 2 speakers on top that sound this good.",ListenAction,Action Exist
1930,1930,1266,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,CarryAction,Person,Universal,Lightweight,"WOW this is a fast start and load time. You wouldn""t think it would be this fast and so thin. I love how they have made the bottom with a rubber ridges on. I feel safe putting this on any surface i have no fear of it slipping off. This is very light and thin easy to carry around. Screen has a great picture on it and the SOUND is AWESOME i haven""t seen a laptop with 2 speakers on top that sound this good. The touch screen is a great feature on this easy touch. The Battery life is good i haven""t used it all up yet i want to use it for a whole day to see how long it really last. They make this so easy to use just unfold it and its on to start the set up only took 5min nothing hard just sign in to your Google and your good to go. This can go anywhere as light as it is doesn""t really feel like you are hold any extra weight. I wont give you all the specs of the device like the GB, RAM or SSD size. I will just tell you i really enjoy this as my new device. I added pictures of the device so you can see what i""m talking about.",5,positive,The person likes the ease of carrying around this laptop,This is very light and thin easy to carry around.,http://linked.aub.edu.lb/actionrec/Annotation/206b33b1089dd298fc8e2238469d30c1,2021-03-28T18:00:30,This is very light and thin easy to carry around.,CarryAction,Action Exist
1947,1947,1267,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,SetupAction,Person,Universal,Speed,"WOW this is a fast start and load time. You wouldn""t think it would be this fast and so thin. I love how they have made the bottom with a rubber ridges on. I feel safe putting this on any surface i have no fear of it slipping off. This is very light and thin easy to carry around. Screen has a great picture on it and the SOUND is AWESOME i haven""t seen a laptop with 2 speakers on top that sound this good. The touch screen is a great feature on this easy touch. The Battery life is good i haven""t used it all up yet i want to use it for a whole day to see how long it really last. They make this so easy to use just unfold it and its on to start the set up only took 5min nothing hard just sign in to your Google and your good to go. This can go anywhere as light as it is doesn""t really feel like you are hold any extra weight. I wont give you all the specs of the device like the GB, RAM or SSD size. I will just tell you i really enjoy this as my new device. I added pictures of the device so you can see what i""m talking about.",5,positive,The person likes that this laptop was easy and quick to setup.,They make this so easy to use just unfold it and its on to start the set up only took 5min nothing hard just sign in to your Google and your good to go.,http://linked.aub.edu.lb/actionrec/Annotation/096494afc1221b090f6f11377edca60a,2021-03-28T18:01:53,They make this so easy to use just unfold it and its on to start the set up only took 5min nothing hard just sign in to your Google and your good to go.,SetupAction,Action Exist
1958,1958,1268,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,TypeAction,Person,Universal,Keyboard,"Purchased the Google Pixelbook Go for my 6th grader July of 2020 and it""s been working out great for at home learning this fall. She uses Chrome books at school so was familiar with how they operate. This is my first experience & I love it too. When she""s not using it, I use it for web browsing, emails, Netflix and have even created a few spreadsheets. Was surprised how amazing the sound was that comes from two speakers on each side of the keyboard. The images on the screen are great too, my MacBook Air looks better of course but for just over $600 it""s perfect. The keyboard is super responsive and comfortable to type.  Love the light weight also as I hold it on my lap when not at my desk. Battery life lasts me all day, have never had an issue running out of juice. Looking for a printer that""s compatible right now, my Brother Laser did not work with it and I bought an Anker adapter for the USB to C connection for some devices. Love it overall and would buy again for sure. :)",5,positive,"The person likes this laptop""s keyboard because he/she can type comfortably with it",The keyboard is super responsive and comfortable to type.,http://linked.aub.edu.lb/actionrec/Annotation/3d030a4682f7e9b5762ae9f0cad78e14,2021-04-01T10:05:27,The keyboard is super responsive and comfortable to type.,TypeAction,Action Exist
1971,1971,1269,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,HoldAction,Person,Universal,Lightweight,"Purchased the Google Pixelbook Go for my 6th grader July of 2020 and it""s been working out great for at home learning this fall. She uses Chrome books at school so was familiar with how they operate. This is my first experience & I love it too. When she""s not using it, I use it for web browsing, emails, Netflix and have even created a few spreadsheets. Was surprised how amazing the sound was that comes from two speakers on each side of the keyboard. The images on the screen are great too, my MacBook Air looks better of course but for just over $600 it""s perfect. The keyboard is super responsive and comfortable to type.  Love the light weight also as I hold it on my lap when not at my desk. Battery life lasts me all day, have never had an issue running out of juice. Looking for a printer that""s compatible right now, my Brother Laser did not work with it and I bought an Anker adapter for the USB to C connection for some devices. Love it overall and would buy again for sure. :)",5,positive,The person likes to hold this laptop on his/her lap.,Love the light weight also as I hold it on my lap when not at my desk.,http://linked.aub.edu.lb/actionrec/Annotation/c68addbda25ba05d6b0d8b3f88ee6de9,2021-04-01T10:06:29,Love the light weight also as I hold it on my lap when not at my desk.,HoldAction,Action Exist
1983,1983,1270,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,CarryAction,Person,Universal,Lightweight,"I have used quite a few Chromebooks over the years, and the absolute first thing I noticed about the Chromebook Go was the build. Admittedly, the design is perfect for me. It is simple, clean, sleek and matte black everywhere. It is made of magnesium but is coated in some type of material that gives it both a nice feel as well as look. It has a very solid feel in the hand, yet, it is also very light. In addition, the bottom has a ribbed design that I have never seen on laptop before. It is very practical and also gives you confidence when you have it in your hand and are on the go. I have been taking this everywhere and I barely notice the weight and am impressed with how it is holding up.Boot times are near instant and initial set-up is extremely easy (with your Google account), although you can dig deeper on some settings if you like. Even though I had some minor concerns regarding the Intel Core M3 chip going in, performance has been great. That is the beauty of Chrome OS. It does not need much to excel and I could not be happier. Chrome with a slew of tabs is no issue, and I have been able to nail down all of my work with ease using Google^s Suite of services as well as some Microsoft Office Apps when required. Having access to Play Store Apps on the Chromebook is a fantastic change. While not all apps will work, I love seeing continued improvements to the platform. That said, life is not all Gmail and work. The touchscreen is Full HD 1080p, with great brightness levels, nice details and full, rich and vivid color. The speakers, located on both sides of the keyboard, sound unexpectedly, well, awesome. There is lots of volume, some bass (yes, a little bass), and little to no distortion at high volume. I consume a TON of media, both at home as well as when I am out, and this thing is fantastic. I have regularly been streaming YouTube TV, Netflix and more recently Disney+ and have liked what I have been seeing (and hearing). It is a good media experience. Having a touchscreen is great, but ultimately, you need a keyboard. An OK one will beÃÂ¢ÃÂÃÂ¦just OK. A bad one? It can ruin an entire computer. A good one? It can be a pleasure to use. That is the case here. It is tough to say, but this may be the best keyboard I have ever used. The layout, spacing and travel are all great. It is extremely quiet and the keys just ÃÂ¢ÃÂÃÂfeel nice.ÃÂ¢ÃÂÃÂ It is also backlit with minimal to no bleed through. Google nailed it. If you are a writer or do a lot of typing, try to find one and give it a try. The trackpad is much of the same. Nice size, responsive and a good feel, BUT, whoa, the click is loud. Noticeably loud. By no means a deal-breaker but keep it in mind.Lastly, it is a Chromebook. You will be taking it with you. Everywhere. It doesn^t work without power. Google rates the battery for 12 hours of use and while how long your battery lasts depends on so many factors, I can only say battery life has been great. I have been using my machine pretty hard and generally am doing everything I need and want to throughout the day with battery to spare. Again, your use case is probably different than mine, but I feel confident it won^t be an issue for you. In addition, it comes with a 45W USB-C charger that supports Quick Charge. You should get 2 hours of use from a 20-minute charge. In conclusion, I think this is a fantastic machine. It is well-built, lightweight, portable, and performs well. The display and speakers are great for media, battery life is very strong, and the keyboard is among the best I have used. Chrome OS has evolved a lot over the years and continues to do so. If Chrome OS is for you, and I would guess it is for most people, it is hard for me to find a better way to use it than this Chromebook.",5,positive,The person likes to take this laptop everywhere due to its lightweight,I have been taking this everywhere and I barely notice the weight and am impressed with how it is holding up.,http://linked.aub.edu.lb/actionrec/Annotation/51da2fd89736bcda769768aeea061cbd,2021-04-01T10:22:59,"I have been taking this everywhere and I barely notice the weight and am impressed with how it is holding up.Boot times are near instant and initial set-up is extremely easy (with your Google account), although you can dig deeper on some settings if you like.",CarryAction,Action Exist
2044,2044,1271,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,StreamAction,Person,Universal,Speakers,"I have used quite a few Chromebooks over the years, and the absolute first thing I noticed about the Chromebook Go was the build. Admittedly, the design is perfect for me. It is simple, clean, sleek and matte black everywhere. It is made of magnesium but is coated in some type of material that gives it both a nice feel as well as look. It has a very solid feel in the hand, yet, it is also very light. In addition, the bottom has a ribbed design that I have never seen on laptop before. It is very practical and also gives you confidence when you have it in your hand and are on the go. I have been taking this everywhere and I barely notice the weight and am impressed with how it is holding up.Boot times are near instant and initial set-up is extremely easy (with your Google account), although you can dig deeper on some settings if you like. Even though I had some minor concerns regarding the Intel Core M3 chip going in, performance has been great. That is the beauty of Chrome OS. It does not need much to excel and I could not be happier. Chrome with a slew of tabs is no issue, and I have been able to nail down all of my work with ease using Google^s Suite of services as well as some Microsoft Office Apps when required. Having access to Play Store Apps on the Chromebook is a fantastic change. While not all apps will work, I love seeing continued improvements to the platform. That said, life is not all Gmail and work. The touchscreen is Full HD 1080p, with great brightness levels, nice details and full, rich and vivid color. The speakers, located on both sides of the keyboard, sound unexpectedly, well, awesome. There is lots of volume, some bass (yes, a little bass), and little to no distortion at high volume. I consume a TON of media, both at home as well as when I am out, and this thing is fantastic. I have regularly been streaming YouTube TV, Netflix and more recently Disney+ and have liked what I have been seeing (and hearing). It is a good media experience. Having a touchscreen is great, but ultimately, you need a keyboard. An OK one will beÃÂ¢ÃÂÃÂ¦just OK. A bad one? It can ruin an entire computer. A good one? It can be a pleasure to use. That is the case here. It is tough to say, but this may be the best keyboard I have ever used. The layout, spacing and travel are all great. It is extremely quiet and the keys just ÃÂ¢ÃÂÃÂfeel nice.ÃÂ¢ÃÂÃÂ It is also backlit with minimal to no bleed through. Google nailed it. If you are a writer or do a lot of typing, try to find one and give it a try. The trackpad is much of the same. Nice size, responsive and a good feel, BUT, whoa, the click is loud. Noticeably loud. By no means a deal-breaker but keep it in mind.Lastly, it is a Chromebook. You will be taking it with you. Everywhere. It doesn^t work without power. Google rates the battery for 12 hours of use and while how long your battery lasts depends on so many factors, I can only say battery life has been great. I have been using my machine pretty hard and generally am doing everything I need and want to throughout the day with battery to spare. Again, your use case is probably different than mine, but I feel confident it won^t be an issue for you. In addition, it comes with a 45W USB-C charger that supports Quick Charge. You should get 2 hours of use from a 20-minute charge. In conclusion, I think this is a fantastic machine. It is well-built, lightweight, portable, and performs well. The display and speakers are great for media, battery life is very strong, and the keyboard is among the best I have used. Chrome OS has evolved a lot over the years and continues to do so. If Chrome OS is for you, and I would guess it is for most people, it is hard for me to find a better way to use it than this Chromebook.",5,positive,"The person likes to stream YouTube videos, Netflix movies and is impressed by the media sound and quality","I have regularly been streaming YouTube TV, Netflix and more recently Disney+ and have liked what I have been seeing (and hearing).",http://linked.aub.edu.lb/actionrec/Annotation/e676b0878f9183259c2a8f0cb694e220,2021-04-01T10:27:12,"I have regularly been streaming YouTube TV, Netflix and more recently Disney+ and have liked what I have been seeing (and hearing).",StreamAction,Action Exist
2101,2101,1272,"Google - Pixelbook Go 13.3"" Touch-Screen Chromebook - Intel Core m3 - 8GB Memory - 64GB Solid State Drive - Just Black",http://linked.aub.edu.lb/actionrec/Product/GA00519_US,TypeAction,Employee,Universal,Keyboard,"I have used quite a few Chromebooks over the years, and the absolute first thing I noticed about the Chromebook Go was the build. Admittedly, the design is perfect for me. It is simple, clean, sleek and matte black everywhere. It is made of magnesium but is coated in some type of material that gives it both a nice feel as well as look. It has a very solid feel in the hand, yet, it is also very light. In addition, the bottom has a ribbed design that I have never seen on laptop before. It is very practical and also gives you confidence when you have it in your hand and are on the go. I have been taking this everywhere and I barely notice the weight and am impressed with how it is holding up.Boot times are near instant and initial set-up is extremely easy (with your Google account), although you can dig deeper on some settings if you like. Even though I had some minor concerns regarding the Intel Core M3 chip going in, performance has been great. That is the beauty of Chrome OS. It does not need much to excel and I could not be happier. Chrome with a slew of tabs is no issue, and I have been able to nail down all of my work with ease using Google^s Suite of services as well as some Microsoft Office Apps when required. Having access to Play Store Apps on the Chromebook is a fantastic change. While not all apps will work, I love seeing continued improvements to the platform. That said, life is not all Gmail and work. The touchscreen is Full HD 1080p, with great brightness levels, nice details and full, rich and vivid color. The speakers, located on both sides of the keyboard, sound unexpectedly, well, awesome. There is lots of volume, some bass (yes, a little bass), and little to no distortion at high volume. I consume a TON of media, both at home as well as when I am out, and this thing is fantastic. I have regularly been streaming YouTube TV, Netflix and more recently Disney+ and have liked what I have been seeing (and hearing). It is a good media experience. Having a touchscreen is great, but ultimately, you need a keyboard. An OK one will beÃÂ¢ÃÂÃÂ¦just OK. A bad one? It can ruin an entire computer. A good one? It can be a pleasure to use. That is the case here. It is tough to say, but this may be the best keyboard I have ever used. The layout, spacing and travel are all great. It is extremely quiet and the keys just ÃÂ¢ÃÂÃÂfeel nice.ÃÂ¢ÃÂÃÂ It is also backlit with minimal to no bleed through. Google nailed it. If you are a writer or do a lot of typing, try to find one and give it a try. The trackpad is much of the same. Nice size, responsive and a good feel, BUT, whoa, the click is loud. Noticeably loud. By no means a deal-breaker but keep it in mind.Lastly, it is a Chromebook. You will be taking it with you. Everywhere. It doesn^t work without power. Google rates the battery for 12 hours of use and while how long your battery lasts depends on so many factors, I can only say battery life has been great. I have been using my machine pretty hard and generally am doing everything I need and want to throughout the day with battery to spare. Again, your use case is probably different than mine, but I feel confident it won^t be an issue for you. In addition, it comes with a 45W USB-C charger that supports Quick Charge. You should get 2 hours of use from a 20-minute charge. In conclusion, I think this is a fantastic machine. It is well-built, lightweight, portable, and performs well. The display and speakers are great for media, battery life is very strong, and the keyboard is among the best I have used. Chrome OS has evolved a lot over the years and continues to do so. If Chrome OS is for you, and I would guess it is for most people, it is hard for me to find a better way to use it than this Chromebook.",5,positive,"The person likes this laptop""s keyboard.","It is tough to say, but this may be the best keyboard I have ever used.",http://linked.aub.edu.lb/actionrec/Annotation/c7d273af3bd6c11908d0b55f67805967,2021-04-01T10:29:21,"It is tough to say, but this may be the best keyboard I have ever used.",TypeAction,Action Exist
